00AA,LEOTI. KS
16LS,PRAIRIEVILLE. LA
16MD,NORTH EAST. MD
16MI,GAINES. MI
16MO,BEAUFORT. MO
16MT,ROBERTS. MT
16NC,EDENTON. NC
16ND,BISMARCK. ND
16NE,PANAMA. NE
16NY,FORT EDWARD. NY
16OI,GREENVILLE. OH
16OK,HYDRO. OK
16S,MYRTLE CREEK. OR
16SC,CROSS ANCHOR. SC
16TA,TOYAHVALE. TX
16TE,HAWKINS. TX
16TS,TYLER. TX
16TT,NORMANGEE. TX
16TX,HAMLIN. TX
16VA,MOUNT SOLON. VA
16W,STARBUCK. WA
16WA,NINE MILE FALLS. WA
16X,JUSTIN. TX
16XS,CONROE. TX
17A,BERRYVILLE. AR
17AR,ENGLAND. AR
17CL,DAVENPORT. CA
17CO,BERTHOUD. CO
17FA,LA BELLE. FL
17FL,OCALA. FL
17G,BUCYRUS. OH
17GA,NEWNAN. GA
17ID,MIDVALE. ID
17II,WALKERTON. IN
17IN,FARMERS RETREAT. IN
17J,DONALSONVILLE. GA
17K,BOISE CITY. OK
17KS,SALINA. KS
17KY,SACRAMENTO. KY
17LS,PORT BARRE. LA
17M,MAGEE. MS
17ME,VAN BUREN. ME
17MO,MONTGOMERY CITY. MO
17MT,KALISPELL. MT
17MU,OSBORN. MO
17N,CROSS KEYS. NJ
17NC,ELIZABETHTOWN. NC
17NK,READING CENTER. NY
17NR,AMMON. NC
17OH,KIPTON. OH
17OI,BAINBRIDGE. OH
17OK,CHICKASHA. OK
17OR,GLIDE. OR
17PS,TIDIOUTE. PA
17S,NEWBERG. OR
17SD,GARY. SD
17TE,COMFORT. TX
17TN,JONESBOROUGH. TN
17TX,STEPHENVILLE. TX
17V,HAXTUN. CO
17WI,LAKE MILLS. WI
17XA,JACKSONVILLE. TX
17XS,DUBLIN. TX
18A,CANON. GA
18AA,HAINES. AK
18AR,EUREKA SPRINGS. AR
18AZ,CAREFREE. AZ
18CL,LIVE OAK. CA
18FD,BAKER. FL
18GA,SOCIAL CIRCLE. GA
18HI,KAUNAKAKAI. HI
18I,PINE KNOT. KY
18II,CICERO. IN
18IN,PLYMOUTH. IN
18JY,SKAMOKAWA. WA
18K,FOWLER. KS
18KS,UDALL. KS
18ME,BRISTOL. ME
18MI,MARSHALL. MI
18MN,MOTLEY. MN
18MO,OZARK. MO
18MS,JACKSON. MS
18MT,JACKSON. MT
18NC,LENOIR. NC
18ND,MENOKEN. ND
18NV,EMPIRE. NV
18NY,WOODSTOCK. NY
18OH,LAGRANGE. OH
18OI,VICKERY. OH
18OR,AMITY. OR
18PA,FOREST GROVE. PA
18PN,UPPER STRASBURG. PA
18SC,NINETY SIX. SC
18SD,MILLER. SD
18T,TATUM. NM
18TA,JUNCTION. TX
18TE,BIG SANDY. TX
18TX,CADDO MILLS. TX
18V,HUDSON. CO
18WV,NEWBURG. WV
18XA,GOLIAD. TX
18XS,MC ADOO. TX
18Y,MILACA. MN
19AK,ICY BAY. AK
19AR,NAYLOR. AR
19AZ,CAMP VERDE. AZ
19GA,FAYETTEVILLE. GA
19IA,WEST BURLINGTON. IA
19IN,CHURUBUSCO. IN
19KY,DRY RIDGE. KY
19LA,LEESVILLE. LA
19LL,MANTENO. IL
19M,LEXINGTON. MS
19ME,ESTCOURT. ME
19MO,ROLLA. MO
19MS,HOLLY SPRINGS. MS
19MT,GRASS RANGE. MT
19N,BERLIN. NJ
19NC,RED OAK. NC
19NE,MC COOK/CULBERTSON. NE
19NK,CENTRAL SQUARE. NY
19NY,READING. NY
19OR,MAUPIN. OR
19PA,MILLVILLE. PA
19PN,MOUNT JOY. PA
19S,SUBLETTE. KS
19SC,NEWBERRY. SC
19TA,MC CLENDON-CHISHOLM. TX
19TN,CLARKSVILLE. TN
19TS,FREER. TX
19VA,ST. PAUL. VA
19WA,STEVENSON. WA
19WI,PRAIRIE FARM. WI
19XS,MAYPEARL. TX
1A1,LIVINGSTON. NY
1A2,ARTHUR. ND
1A3,COPPERHILL. TN
1A4,SAMSON. AL
1A5,FRANKLIN. NC
1A6,MIDDLESBORO. KY
1A7,GAINESBORO. TN
1A8,GOLDFIELD. NV
1A9,PRATTVILLE. AL
1AA0,CHATTANOOGA. TN
1AK1,CREVICE CREEK. AK
1AK2,CROSSWIND LAKE. AK
1AK3,COLD BAY. AK
1AK4,SOLDOTNA. AK
1AK6,SKWENTNA. AK
1AK8,SKWENTNA. AK
1AL2,COLUMBIANA. AL
1AL4,ROBERTSDALE. AL
1AL5,LOXLEY. AL
1AL8,MOODY. AL
1AR0,BEEDEVILLE. AR
1AR1,COY. AR
1AR2,DES ARC. AR
1AR4,MARBLE. AR
1AR5,GENTRY. AR
1AR6,GREERS FERRY. AR
1AR9,LONOKE. AR
1AZ0,MOBILE. AZ
1AZ6,SIERRA VISTA. AZ
1AZ8,BULLHEAD CITY. AZ
1B0,DEXTER. ME
1B1,HUDSON. NY
1B2,EDGARTOWN. MA
1B5,FRANCONIA. NH
1B6,HOPEDALE. MA
1B8,CAMBRIDGE. NY
1B9,MANSFIELD. MA
1BT,BONNE TERRE. MO
1C1,PAXTON. IL
1C3,ARGYLE. NY
1C5,BOLINGBROOK. IL
1C8,ROCKFORD. IL
1C9,HOLLISTER. CA
1CA6,ALPINE. CA
1CD1,NUNN. CO
1CD2,PLATTEVILLE. CO
1CD4,STEAM BOAT SPRINGS. CO
1CL1,LANCASTER. CA
1CL2,MOJAVE. CA
1CO2,NORWOOD. CO
1CO3,NUNN. CO
1CO4,OLATHE. CO
1CO5,ROCKY FORD. CO
1CO7,SALIDA. CO
1CO8,PARKER. CO
1D1,MILBANK. SD
1D2,PLYMOUTH. MI
1D3,PLATTE. SD
1D4,AKRON. OH
1D6,HECTOR. MN
1D7,WEBSTER. SD
1D8,REDFIELD. SD
1DA,LUCILE. ID
1DE5,MIDDLETOWN. DE
1DS,ORANGEBURG. SC
1.00E+02,ALPINE. TX
1.00E+04,AMARILLO. TX
1.00E+07,AMARILLO. TX
1.00E+08,DEGRASSE. NY
1F0,ARDMORE. OK
1F2,EDINBURG. NY
1F4,MADILL. OK
1F5,HOXIE. KS
1F7,DALLAS. TX
1FA1,CRYSTAL RIVER. FL
1FA3,FORT MYERS. FL
1FA9,FORT MEADE. FL
1FD4,ESTERO. FL
1FL3,LAKE CITY. FL
1G0,BOWLING GREEN. OH
1G1,ELYRIA. OH
1G3,KENT. OH
1G4,PEACH SPRINGS. AZ
1G5,MEDINA. OH
1G8,TORONTO. OH
1GA0,SHELLMAN BLUFF. GA
1GA2,LUTHERSVILLE. GA
1GA4,STATESBORO. GA
1GA6,SASSER. GA
1GA8,NASHVILLE. GA
1GA9,MONROE. GA
1GE2,WOODLAND. GA
1GE3,FRANKLIN. GA
1GE4,FORT VALLEY. GA
1GE5,CONCORD. GA
1GE6,PATTERSON. GA
1GE7,MADISON. GA
1GE9,WAVERLY HALL. GA
1H0,ST LOUIS. MO
1H1,CLAY. NY
1H2,EFFINGHAM. IL
1H3,LINN. MO
1H4,GREENVILLE. NY
1H5,WILLOW SPRINGS. MO
1H6,TULSA. OK
1H8,CASEY. IL
1H9,SPOONER. WI
1I1,KEENE. NY
1I3,BLOOMFIELD. IN
1I5,FREEHOLD. NY
1I8,CONVERSE. IN
1I9,DELPHI. IN
1ID3,SANDPOINT. ID
1ID4,BOISE. ID
1ID7,EDEN. ID
1ID9,INKOM. ID
1II0,HOMER. IN
1II5,CULVER. IN
1IL0,EL PASO. IL
1IL1,IRVING. IL
1IL4,MILLSTADT. IL
1IL9,MC LEAN. IL
1IN1,LEWISVILLE. IN
1IN3,ARCOLA. IN
1IN4,ELIZABETH. IN
1IN5,SOMERVILLE. IN
1IN6,PINE VILLAGE. IN
1IN9,MARION. IN
1IS2,BEMENT. IL
1IS3,BLUE MOUND. IL
1IS4,LANARK. IL
1J9,NAVARRE. FL
1JY2,SILVER LAKE. OR
1K1,BENTON. KS
1K2,LINDSAY. OK
1K4,GOLDSBY. OK
1K5,WAYNOKA. OK
1K6,ELLINWOOD. KS
1K7,FREDONIA. KS
1K8,KETCHUM. OK
1K9,SATANTA. KS
1KC,KALAKAKET CREEK. AK
1KS,PLEASANTON. KS
1KS1,RICHMOND. KS
1KS2,EASTON. KS
1KS3,RILEY. KS
1KS4,ENTERPRISE. KS
1KS6,SALINA. KS
1KS8,SCOTT CITY. KS
1KS9,BONNER SPRINGS. KS
1KY7,RICHMOND. KY
1L1,PANACA. NV
1L3,SEARCHLIGHT. NV
1L4,CAL NEV ARI. NV
1L7,ESCALANTE. UT
1L8,HURRICANE. UT
1L9,PAROWAN. UT
1LA1,HAHNVILLE. LA
1LA3,HAYES. LA
1LA4,SHREVEPORT. LA
1LA5,MORROW. LA
1LL2,SENECA. IL
1LL4,MONTICELLO. IL
1LL5,HILLSBORO. IL
1LL7,SHEFFIELD. IL
1LL8,SHELDON. IL
1LS8,FERRIDAY. LA
1M2,BELZONI. MS
1M3,ARDMORE. AL
1M4,HALEYVILLE. AL
1M5,PORTLAND. TN
1M6,ASHLAND. MT
1M7,FULTON. KY
1M8,BERKLEY. MA
1M9,CADIZ. KY
1MA5,SOUTHBOROUGH. MA
1MD1,CAMBRIDGE. MD
1MD8,WESTMINSTER/SILVER RUN. MD
1MI3,ONAWAY. MI
1MI4,HEMLOCK. MI
1MI5,HOWELL. MI
1MI6,MILAN. MI
1MI8,HUBBARD LAKE. MI
1MI9,MARQUETTE. MI
1MN0,TENNEY. MN
1MN2,AKELEY. MN
1MN5,WACONIA. MN
1MN8,WEBSTER. MN
1MO,MOUNTAIN GROVE. MO
1MO2,WINDSOR. MO
1MO3,GALLATIN. MO
1MO4,GALLATIN. MO
1MO6,GRANDIN. MO
1MO8,GRAVOIS MILLS. MO
1MS0,SHAW. MS
1MS2,GOODMAN. MS
1MS8,SHUQUALAK. MS
1MT0,GALLATIN GATEWAY. MT
1MT3,ELLISTON. MT
1MT4,WHITEFISH. MT
1MT6,PHILIPSBURG. MT
1MT7,SAND COULEE. MT
1MT9,BILLINGS. MT
1MU0,REPUBLIC. MO
1MU2,RIDGELY. MO
1MU8,RUSHVILLE. MO
1MY1,WENDELL. MN
1N1,EDGEWOOD. NM
1N2,EAST MORICHES. NY
1N3,PHILIPSBURG. PA
1N5,SALISBURY. MD
1N7,BLAIRSTOWN. NJ
1NA5,STREETER. ND
1NA8,BRADDOCK. ND
1NC0,ASHEBORO. NC
1NC2,MOORESVILLE. NC
1NC3,ELIZABETH CITY. NC
1NC4,POLLOCKSVILLE. NC
1NC5,BUNN. NC
1NC6,WINGATE. NC
1NC8,GOLD HILL. NC
1ND4,ARGUSVILLE. ND
1NE0,BROWNLEE. NE
1NE2,CALLAWAY. NE
1NE5,WASHINGTON. NE
1NE6,DALTON. NE
1NK0,ROXBURY. NY
1NK6,WILMINGTON. NY
1NK7,BOONVILLE. NY
1NK8,BINGHAMTON. NY
1NM0,SILVER CITY. NM
1NR7,HENDERSON. NC
1NV1,FALLON. NV
1NY3,RICHLAND. NY
1NY5,POUGHKEEPSIE. NY
1O1,GRANDFIELD. OK
1O2,LAKEPORT. CA
1O3,LODI. CA
1O4,THOMAS. OK
1O5,MONTAGUE. CA
1O6,DUNSMUIR. CA
1O8,TIPTON. OK
1OA1,PLEASANT HILL. OH
1OA2,GRAFTON. OH
1OA4,SPRINGFIELD. OH
1OH1,QUINCY. OH
1OH2,BELLEVUE. OH
1OH3,CASTALIA. OH
1OH9,PEEBLES. OH
1OI6,NEW LEBANON. OH
1OK,FAIRMONT. OK
1OK0,BRISTOW. OK
1OK1,KINGFISHER. OK
1OK2,HYDRO. OK
1OK3,BRAY. OK
1OK5,LONE WOLF. OK
1OK6,HYDRO. OK
1OK7,MAYSVILLE. OK
1OK8,EDMOND. OK
1OK9,MARIETTA. OK
1OL2,HARRAH. OK
1OR0,NORTH BEND. OR
1OR3,NORTH PLAINS. OR
1OR5,SUMMERVILLE. OR
1OR7,OREGON CITY. OR
1P1,PLYMOUTH. NH
1PA0,JERSEY SHORE. PA
1PA3,KELLERS CHURCH. PA
1PA4,LEWISTOWN. PA
1PA9,KLINGERSTOWN. PA
1PN1,TRANSFER. PA
1PN7,MOUNT PLEASANT. PA
1PP,STILWELL. OK
1PS0,OSTERBURG. PA
1PS9,TRUMBAUERSVILLE. PA
1Q1,STRATHMORE. CA
1Q2,SUSANVILLE. CA
1Q4,TRACY. CA
1Q5,UPPER LAKE. CA
1Q9,MILI ISLAND. MH
1QK,QUINTER. KS
1R1,JENA. LA
1R4,WOODWORTH. LA
1R7,BROOKHAVEN. MS
1R8,BAY MINETTE. AL
1RL,POINT ROBERTS. WA
1S1,PORTHILL. ID
1S2,DARRINGTON. WA
1S3,FORSYTH. MT
1S4,SEILING. OK
1S5,SUNNYSIDE. WA
1S6,PRIEST RIVER. ID
1S7,SLATE CREEK. ID
1S8,ARLINGTON. OR
1S9,CHEWELAH. WA
1SC1,PELZER. SC
1SC2,HOPKINS. SC
1SC3,FAIR PLAY. SC
1SD0,GLAD VALLEY. SD
1SD1,SCOTLAND. SD
1SD3,HURLEY. SD
1SD4,FAITH. SD
1SD5,WHITE LAKE. SD
1SD6,OELRICH`S. SD
1T7,SAN ANTONIO. TX
1TA1,MORAN. TX
1TA2,TULIA. TX
1TA4,CROCKETT. TX
1TA5,DENVER CITY. TX
1TA7,CANTON. TX
1TA8,BRACKETVILLE. TX
1TE0,MULESHOE. TX
1TE1,CATARINA. TX
1TE4,MARION. TX
1TE5,HEARNE. TX
1TE7,FLORESVILLE. TX
1TE8,HOWE. TX
1TE9,FRANKLIN. TX
1TN0,LEBANON. TN
1TN3,BELVIDERE. TN
1TN8,SEYMOUR. TN
1TN9,BRISTOL. TN
1TS0,OAK ISLAND. TX
1TS1,PATTISON. TX
1TS2,HUBBARD. TX
1TS6,CARRIZO SPRINGS. TX
1TS8,COLORADO CITY. TX
1TS9,DEL RIO. TX
1TT8,SAN ANTONIO. TX
1TX0,LAMPASAS. TX
1TX2,GUTHRIE. TX
1TX3,GUTHRIE. TX
1TX4,NEW GULF. TX
1TX5,HALE CENTER. TX
1TX6,HAMILTON. TX
1TX7,HAMLIN. TX
1TX8,HART. TX
1TX9,HAWKINS. TX
1U0,MINIDOKA. ID
1U1,MOOSE CREEK RANGER STATION. ID
1U2,MUD LAKE. ID
1U3,MURPHY. ID
1U4,NEW MEADOWS. ID
1U6,OAKLEY. ID
1U7,PARIS. ID
1U9,PINE. ID
1V0,NAVAJO DAM. NM
1V2,HYANNIS. NE
1V6,CANON CITY. CO
1V8,CENTER. CO
1VA0,SABOT. VA
1VA1,STUART. VA
1VA3,LOVINGSTON. VA
1VA8,CHASE CITY. VA
1VG2,MONTROSS. VA
1VT8,CASTLETON. VT
1W1,CAMAS. WA
1W3,CUMBERLAND. MD
1WA2,WINLOCK. WA
1WA6,FALL CITY. WA
1WA9,FRIDAY HARBOR. WA
1WF,TROY. OH
1WI3,EVANSVILLE. WI
1WI6,RAYMOND TOWNSHIP. WI
1WI7,REDGRANITE. WI
1WI8,ALGOMA. WI
1WI9,FORT ATKINSON. WI
1WN0,NORTHPORT. WA
1WN1,DUNDEE. WI
1WN2,CEDARBURG. WI
1WN3,STAR PRAIRIE. WI
1X1,HIGGINS. TX
1XA1,BOWIE. TX
1XA4,BROOKSHIRE. TX
1XA5,PAIGE. TX
1XA6,VALLEY VIEW. TX
1XA7,SEALY. TX
1XA8,CHATFIELD. TX
1XS0,SANDIA. TX
1XS1,CROSBY. TX
1XS2,ELGIN. TX
1XS4,MASON. TX
1XS7,TERLINGUA. TX
1XS8,BRACKETTVILLE. TX
1Y3,MOUNT AYR. IA
1Y5,NEW HAMPTON. IA
1Y9,PAULLINA. IA
1Z1,WHITMORE. AZ
20A,ONEONTA. AL
20AK,BIG LAKE. AK
20AR,GUY. AR
20CL,POPE VALLEY. CA
20FD,GREENVILLE. FL
20FL,PORT CHARLOTTE. FL
20GA,VILLA RICA. GA
20IA,CUMMING. IA
20ID,IDAHO CITY. ID
20IN,FRANKLIN. IN
20IS,WINSLOW. IL
20K,QUAIL CREEK. AK
20KS,NORWAY. KS
20KT,MCDANIELS. KY
20KY,VERONA. KY
20LS,CROWLEY. LA
20M,MACON. MS
20MS,BARLOW. MS
20MT,LAMBERT. MT
20N,KINGSTON. NY
20NC,SHERRILLS FORD. NC
20NY,STAFFORD. NY
20OH,BRISTOLVILLE. OH
20OR,REDLAND. OR
20R,CRYSTAL CITY. TX
20SD,WHITE. SD
20T,GODLEY. TX
20TA,BELLS. TX
20TN,FALL BRANCH. TN
20TS,BANDERA. TX
20TT,LIBERTY HILL. TX
20U,BEACH. ND
20V,KREMMLING. CO
20VA,BOWLING GREEN. VA
20VG,BEDFORD. VA
20WA,YELM. WA
20WI,REDGRANITE. WI
20XS,CHISHOLM. TX
21AK,TALKEETNA. AK
21AR,HAZEN. AR
21AZ,SHOW LOW. AZ
21D,ST PAUL. MN
21F,JACKSBORO. TX
21FA,ROCKLEDGE. FL
21FL,CLERMONT. FL
21GE,CLEVELAND. GA
21IN,TROY. IN
21KY,HODGENVILLE. KY
21LA,BATON ROUGE. LA
21LS,ST FRANCISVILLE. LA
21ME,GORHAM. ME
21MO,LICKING. MO
21MS,WALLS. MS
21MT,BOZEMAN. MT
21MU,SHELL KNOB. MO
21N,MATTITUCK. NY
21ND,UPHAM. ND
21NH,KENSINGTON. NH
21NK,MORRIS. NY
21OG,JEFFERSON. OR
21OI,OWENSVILLE. OH
21TX,PARIS. TX
21VA,CHERITON. VA
21W,GREENWATER. WA
21XS,HOUSTON. TX
22CL,MARYSVILLE. CA
22CO,BRIGHTON. CO
22D,EIGHTY FOUR. PA
22F,JAYTON. TX
22FA,SARASOTA. FL
22GA,PLAINVILLE. GA
22I,MC ARTHUR. OH
22ID,PLACERVILLE. ID
22II,MOUNT VERNON. IN
22IL,GALENA. IL
22IN,FT. WAYNE. IN
22LA,SIMMESPORT. LA
22LS,ARNAUDVILLE. LA
22M,PONTOTOC. MS
22MD,HAGERSTOWN. MD
22MS,LUCEDALE. MS
22MT,KALISPELL. MT
22N,LEHIGHTON. PA
22NC,SILER CITY. NC
22OG,LAKEVIEW. OR
22OI,LORDSTOWN. OH
22OK,SPRINGER. OK
22OR,SILVERTON. OR
22S,PAISLEY. OR
22T,TECUMSEH. MI
22TA,GRANDVIEW. TX
22UT,BIG WATER. UT
22WA,WILBUR. WA
22WN,DODGEVILLE. WI
22WY,ROZET. WY
22XA,HICO. TX
22XS,FORT CAVAZOS (KILLEEN). TX
23AK,WASILLA. AK
23AR,JONESBORO. AR
23AZ,WICKENBURG. AZ
23CD,BURLINGTON. CO
23CO,RUSH. CO
23D,KARLSTAD. MN
23DE,CLAYTON. DE
23FL,WIMAUMA. FL
23GE,DUBLIN. GA
23ID,FEATHERVLLE. ID
23IS,PLYMOUTH. IL
23JY,QUINTER. KS
23KS,LINDSBORG. KS
23KY,BURNA. KY
23LA,COVINGTON. LA
23M,QUITMAN. MS
23MI,CHARLEVOIX. MI
23MN,PRESTON. MN
23MO,BRUNSWICK. MO
23MS,MOSS POINT. MS
23MT,BOZEMAN. MT
23MU,OSCEOLA. MO
23N,BAYPORT. NY
23ND,ROGERS. ND
23NH,WINDSOR. NH
23NJ,PITTSGROVE. NJ
23NK,MACEDON. NY
23NR,FAIRFIELD. NC
23NY,BATH. NY
23PA,REVERE. PA
23R,DEVINE. TX
23S,SEELEY LAKE. MT
23TA,TOM BEAN. TX
23TS,DEL RIO. TX
23TX,THE GROVE/RANCH. TX
23VA,BUCKINGHAM. VA
23W,CORNUCOPIA. WI
23WN,SPRINGBROOK. WI
23XA,ALVIN. TX
23XS,FORT CAVAZOS (KILLEEN). TX
24A,SYLVA. NC
24AK,MEADOW LAKES. AK
24AR,LUNDELL. AR
24AZ,YOUNG. AZ
24C,LOWELL. MI
24CL,CORCORAN. CA
24CT,JEWETT CITY. CT
24F,JEFFERSON. TX
24FL,MILTON. FL
24IA,CEDAR FALLS. IA
24ID,CHALLIS. ID
24IN,HARTSVILLE. IN
24J,LIVE OAK. FL
24K,MC CALL. ID
24KS,VIOLA. KS
24LL,PINCKNEYVILLE. IL
24M,KENT CITY. MI
24ME,WINDHAM. ME
24MO,CAMDENTON. MO
24MT,BOZEMAN. MT
24MU,FAIRFAX. MO
24N,DULCE. NM
24NC,MONROE. NC
24NE,LAKESIDE. NE
24NJ,SALEM. NJ
24OI,ST PARIS. OH
24PA,FREEDOM. PA
24R,DILLEY. TX
24S,PINEHURST. OR
24SC,SUMMIT. SC
24TA,CENTERVILLE. TX
24TX,THURBER. TX
24VA,CHERITON. VA
24XA,SAN ANTONIO. TX
25AA,FAIRBANKS. AK
25AK,WILLOW. AK
25AR,BELLEVILLE. AR
25AZ,PORTAL. AZ
25CA,SANTA YSABEL. CA
25CD,HARTSEL. CO
25CL,PLEASANT GROVE. CA
25CO,RED FEATHER LAKES. CO
25D,FOREST LAKE. MN
25FL,BUSHNELL. FL
25GA,DOUGLASVILLE. GA
25IA,ST. ANSGAR. IA
25IL,VIRDEN. IL
25IN,HOWE. IN
25J,CUTHBERT. GA
25KS,KIRWIN. KS
25LA,ALBANY. LA
25M,RIPLEY. MS
25MD,SUDLERSVILLE. MD
25MI,ST. JOHNS. MI
25MO,CARL JUNCTION. MO
25MT,GLASGOW. MT
25NC,ASHEBORO. NC
25ND,MANDAN. ND
25NE,MELBETA. NE
25NH,FRANCONIA. NH
25NK,HAMMONDSPORT. NY
25NM,PIE TOWN. NM
25NV,CARSON CITY. NV
25OH,LOUISVILLE. OH
25OK,COMANCHE. OK
25SC,GREENVILLE. SC
25TA,BAYTOWN. TX
25TS,DALHART. TX
25TX,CUT AND SHOOT. TX
25U,IMNAHA. OR
25VA,AYLETT. VA
25VG,GALAX. VA
25WA,TONASKET. WA
25WN,PEPIN. WI
25XA,FREDERICKSBURG. TX
25XS,WAXAHACHIE. TX
26A,ASHLAND/LINEVILLE. AL
26AK,CAPE SARICHEF. AK
26AL,MOBILE. AL
26AR,SEARCY. AR
26AZ,AGUILA. AZ
26CA,WILTON. CA
26CL,RANCHITA. CA
26FD,ARCADIA. FL
26IA,CORRECTIONVILLE. IA
26ID,SANDPOINT. ID
26IN,FORT WAYNE. IN
26IS,FAIRBURY. IL
26MA,PEPPERELL. MA
26MI,LOWELL. MI
26MN,HALSTAD. MN
26MT,HINGHAM. MT
26N,OCEAN CITY. NJ
26NC,BOONVILLE. NC
26NV,FALLON. NV
26OG,EAGLE POINT. OR
26OH,WAKEMAN. OH
26OK,SASAKWA. OK
26R,EDNA. TX
26TX,TRUSCOTT. TX
26U,MC DERMITT. OR
26W,NAPOLEON. MI
26WI,EXELAND. WI
26XS,BLANCO. TX
27AK,SKWENTNA. AK
27AL,TUSKEGEE. AL
27AZ,AGUILA. AZ
27C,MECOSTA. MI
27CA,APPLE VALLEY. CA
27CL,PLEASANT GROVE. CA
27FA,LITHIA. FL
27GA,CARROLLTON. GA
27IA,KEOSAUQUA. IA
27ID,FILER. ID
27IS,DAHLGREN. IL
27K,GEORGETOWN. KY
27KS,GOODLAND. KS
27LL,VALMEYER. IL
27MD,CHURCH HILL. MD
27MI,VASSAR. MI
27MN,LAKE BRONSON. MN
27MO,CARTHAGE. MO
27MS,CARTHAGE. MS
27MT,KALISPELL. MT
27ND,ALAMO. ND
27NE,GRANT. NE
27NK,SCHYLER. NY
27NR,ANGIER. NC
27OH,FINDLAY. OH
27OK,PONCA CITY. OK
27P,ELDORA. IA
27R,ELDORADO. TX
27TX,CARMINE. TX
27W,LEAVENWORTH. WA
27WA,CONWAY. WA
27WI,ROCHESTER. WI
27WV,POCA. WV
27XA,POOLVILLE. TX
27XS,BROOKSHIRE. TX
28A,INDIAN TRAIL. NC
28AK,GLACIER VIEW. AK
28AL,MILLBROOK. AL
28AR,CHARLOTTE. AR
28AZ,AGUILA. AZ
28CA,DOS PALOS. CA
28DE,FELTON. DE
28FL,CRESENT CITY. FL
28ID,DIXIE. ID
28II,LACONIA. IN
28J,PALATKA. FL
28KS,RANTOUL. KS
28KY,MURRAY. KY
28M,HANSON. MA
28MA,SOUTHWICK. MA
28MI,CEDAR. MI
28MN,WELCH. MN
28MO,ROSCOE. MO
28MT,LINCOLN. MT
28N,VINELAND. NJ
28NK,CLAYTON. NY
28NR,RUTHERFORDTON. NC
28NY,CASSADAGA. NY
28OH,LYONS. OH
28OK,EL RENO. OK
28OR,NEWBERG. OR
28PA,WERNERSVILLE. PA
28TA,FREER. TX
28TE,ELMENDORF. TX
28TT,BYNUM. TX
28TX,VERNON. TX
28U,OWYHEE. OR
28WA,VANCOUVER. WA
28WI,ARKANSAW. WI
28XS,KAUFMAN. TX
29AK,DELTA JUNCTION. AK
29C,PORT AUSTIN. MI
29CN,GEORGETOWN. CA
29D,GROVE CITY. PA
29F,KRESS. TX
29GA,SHARPSBURG. GA
29IA,SIDNEY. IA
29IN,COLUMBIA CITY. IN
29KY,CALIFORNIA. KY
29MI,MASON. MI
29MN,TINTAH. MN
29MO,SMITHVILLE. MO
29MT,TROUT CREEK. MT
29N,VINELAND. NJ
29NC,EFLAND. NC
29NH,AUBURN. NH
29OH,MAGNOLIA. OH
29OK,HINTON. OK
29OR,PRINEVILLE. OR
29PA,HOOKSTOWN. PA
29S,GARDINER. MT
29SC,WALTERBORO. SC
29TX,VERNON. TX
29VA,REMINGTON. VA
29WI,BABCOCK. WI
2A0,DAYTON. TN
2A1,JAMESTOWN. TN
2A2,CLINTON. AR
2A3,LARSEN BAY. AK
2A6,HOLLY GROVE. AR
2A8,ADDISON. AL
2A9,KOTLIK. AK
2AK,LIME VILLAGE. AK
2AK0,POINT MACKENZIE. AK
2AK1,FAIRBANKS /FT WAINWRIGHT/. AK
2AK2,FAIRBANKS /FT WAINWRIGHT/. AK
2AK4,HOMER. AK
2AK5,HINCHINBROOK. AK
2AK6,HOGATZA. AK
2AK8,ICY CAPE. AK
2AK9,INDEPENDENCE CREEK. AK
2AL1,MAGNOLIA SPRINGS. AL
2AL3,WETUMPKA. AL
2AL5,FORT PAYNE. AL
2AL6,IRVINGTON. AL
2AL7,HANCEVILLE. AL
2AL8,PHENIX CITY. AL
2AN,ANDERSON. AK
2AR0,LONOKE. AR
2AR1,OZARK. AR
2AR2,SAGE. AR
2AR4,MC CRORY. AR
2AR5,CENTERTON. AR
2AR7,PRESCOTT. AR
2AR8,BLACK OAK. AR
2AZ1,SALOME. AZ
2AZ4,MARICOPA. AZ
2AZ9,MCNEAL. AZ
2B1,MARSTON MILLS. MA
2B2,NEWBURYPORT. MA
2B3,NEWPORT. NH
2B6,WILMINGTON. OH
2B7,PITTSFIELD. ME
2B9,POST MILLS. VT
2C5,PAW PAW. MI
2C6,YATES CITY. IL
2C7,SHAKTOOLIK. AK
2C8,CAVALIER. ND
2CA2,TWENTYNINE PALMS. CA
2CA3,TWENTYNINE PALMS. CA
2CA4,VALLEY CENTER. CA
2CA8,YUCCA VALLEY. CA
2CB,CAMP BLANDING MIL RES (STARKE)
2CD3,PEYTON. CO
2CD4,SILT. CO
2CD6,ELIZABETH. CO
2CD9,LAPORTE. CO
2CL1,BROWNSVILLE. CA
2CL3,TENNANT. CA
2CL9,GALT. CA
2CN3,MURRIETA. CA
2CN4,LOST HILLS. CA
2CN8,LAKE ARROWHEAD. CA
2CO2,ALAMOSA. CO
2CO3,MILLIKEN. CO
2CO5,AUSTIN. CO
2D1,ALLIANCE. OH
2D5,OAKES. ND
2D7,BEACH CITY. OH
2DE2,FARMINGTON. DE
2DE3,FELTON. DE
2DE8,MILFORD. DE
2.00E+02,EMMETT. MI
2.00E+05,DELL CITY. TX
2.00E+06,GROTON. SD
2.00E+07,MC LEAN. TX
2.00E+08,DEXTER. MI
